Дата_поставки_начало,Дата_поставки_конец,Поставщик,ТРУ,Цена_с_НДС,Кол_во_1,Кол_во_2,Кол_во_3,Сумма_Реализации,Продавец_1,Цена_1,Цена_2,Цена_3,Цена_4,Цена,Кол_во,Стоимость_у_поставщика
2023-10-05 00:00:00,2024-10-16 00:00:00,"ТОО""AST Petroleum""","МОНОМЕТИЛАНИЛИН (ММА, N-метиланилин) 98% октаноповышающая присадка добавка к бензину, упаковка 1000кг/IBC",2447.2,820000,445000,,2006704000,"MIT-IVY INDUSRRY CO.,LTD",1919.035028516854,,,,1919.035028516854,820000.0,2447.2
2023-10-05 00:00:00,2024-10-16 00:00:00,"ТОО""AST Petroleum""","МОНОМЕТИЛАНИЛИН (ММА, N-метиланилин) 98% октаноповышающая присадка добавка к бензину, упаковка 1000кг/IBC",2447.2,820000,300000,,2006704000,SIMAGCHEM CORPORATION,1388.9418529,,,,1388.9418529,820000.0,2447.2
2023-10-05 00:00:00,2024-10-16 00:00:00,"ТОО""AST Petroleum""","МОНОМЕТИЛАНИЛИН (ММА, N-метиланилин) 98% октаноповышающая присадка добавка к бензину, упаковка 1000кг/IBC",2447.2,820000,135000,,2006704000,AARTI INDUSTRIES LTD,1378.5100974814814,,,,1378.5100974814814,820000.0,2447.2
2023-11-13 00:00:00,2024-07-01 00:00:00,"ТОО""AST Petroleum""",Ингибитор коррозии Philmplus 5068E,5625.76,75800,16150,,426432608,GROSSMANN GMBH,4863.894095356037,,,,4863.894095356037,75800.0,5625.76
2023-11-13 00:00:00,2024-07-01 00:00:00,"ТОО""AST Petroleum""",Ингибитор коррозии Philmplus 5068E,5625.76,75800,59650,18700,426432608,"ТОО""MediTest» (МедиТест)""",5200.00109438391,4802.313613368983,,,5200.00109438391,75800.0,5625.76
,,,,,,59650,20550,,"ТОО""MediTest» (МедиТест)""",5200.00109438391,3670.24,,,5200.00109438391,,
,,,,,,59650,20400,,"ТОО""MediTest» (МедиТест)""",5200.00109438391,3670.24,,,5200.00109438391,,
2024-03-14 00:00:00,2024-03-14 00:00:00,"ТОО""AST Petroleum""",Перхлорэтилен/Тетрахлорэтилен,3696.0,94380,94380,,348828480,"ТОО""Orient Petrochemicals""",1821.6956643356646,,,,1821.6956643356646,94380.0,3696.0
Общий Итог,,,,,,,,6795373088,,,,,,,,
2024-11-11 00:00:00,2024-11-11 00:00:00,"ТОО""Ұрпақ НС""","Устройство распределительное РТП-1 РУ-6кВ (Распределительное устройство типа PIX (6кВ, 2000А, 31,5 кА) состоящее из 50 ячеек в комплекте с 2 шинным мостом)",1234821035.84,1,,,1234821035.84,"ТОО""Шнейдер Электрик""",424345017.6,,,,424345017.6,1.0,1234821035.84
2024-11-11 00:00:00,2024-11-11 00:00:00,"ТОО""Ұрпақ НС""","Устройство распределительное РТП-1 РУ-6кВ (Распределительное устройство типа PIX (6кВ, 2000А, 31,5 кА) состоящее из 50 ячеек в комплекте с 2 шинным мостом)",1234821035.84,1,,,1234821035.84,"ТОО""Шнейдер Электрик""",49988825.6,,,,49988825.6,1.0,1234821035.84
2024-11-11 00:00:00,2024-11-11 00:00:00,"ТОО""Ұрпақ НС""","Устройство распределительное РТП-1 РУ-6кВ (Распределительное устройство типа PIX (6кВ, 2000А, 31,5 кА) состоящее из 50 ячеек в комплекте с 2 шинным мостом)",1234821035.84,1,,,1234821035.84,"ТОО""Шнейдер Электрик""",9780422.4,,,,9780422.4,1.0,1234821035.84
2024-09-16 00:00:00,2024-09-16 00:00:00,"ТОО""Ұрпақ НС""","Устройство распределительное ТП-14/1 РУ-6кВ (Распределительное устройство типа PIX (6 кВ, 2500А, 31,5 кА, состоящее из 44 ячеек в комплекте в сдвумя шинными мостами)",1205930257.28,1,,,1205930257.28,"ТОО""Шнейдер Электрик""",356442060.8,,,,356442060.8,1.0,1205930257.28
2024-09-16 00:00:00,2024-09-16 00:00:00,"ТОО""Ұрпақ НС""","Устройство распределительное ТП-14/1 РУ-6кВ (Распределительное устройство типа PIX (6 кВ, 2500А, 31,5 кА, состоящее из 44 ячеек в комплекте в сдвумя шинными мостами)",1205930257.28,1,,,1205930257.28,"ТОО""Шнейдер Электрик""",47272041.6,,,,47272041.6,1.0,1205930257.28
2024-09-16 00:00:00,2024-09-16 00:00:00,"ТОО""Ұрпақ НС""","Устройство распределительное ТП-14/1 РУ-6кВ (Распределительное устройство типа PIX (6 кВ, 2500А, 31,5 кА, состоящее из 44 ячеек в комплекте в сдвумя шинными мостами)",1205930257.28,1,,,1205930257.28,"ТОО""Шнейдер Электрик""",9780422.4,,,,9780422.4,1.0,1205930257.28
Общий Итог,,,,,,,,2440751293.12,,,,,,,,
2024-06-17 00:00:00,2024-09-30 00:00:00,"ТОО""Казахстанский Институт Содействия Промышленности""",Присадка противоизносная РС 32,3864.0,158460,158460,,612289440,"Товарищество с ограниченной ответственностью ""ТотальЭнерджис Маркетинг Казахстан""",2023.820470087088,,,,2023.820470087088,158460.0,3864.0
2023-11-14 00:00:00,2023-12-05 00:00:00,"ТОО""Казахстанский Институт Содействия Промышленности""",Присадка противоизносная РС 32,3852800.0,120.34,120.34,,463645952,"Товарищество с ограниченной ответственностью ""ТотальЭнерджис Маркетинг Казахстан""",2160821.1999335214,,,,2160821.1999335214,120.34,3852800.0
2024-04-03 00:00:00,2024-04-03 00:00:00,"ТОО""Казахстанский Институт Содействия Промышленности""",Универсальная установка для определения октановых чисел топлив моторным,595999999.9968,1,1,,595999999.9968,"ООО ""Неолаб""",287957001.45,,,,287957001.45,1.0,595999999.9968
Общий Итог,,,,,,,,1671935391.9968,,,,,,,,
2024-01-24 00:00:00,2024-01-24 00:00:00,Частная компания Nova Cyberworks Limited,ДИСПЕРГАТОР,3877.44,83920,83920,,325394764.8,PETROLINK ENERGY INC,3545.534860700667,,,,3545.534860700667,83920.0,3877.44
2024-01-24 00:00:00,2024-01-24 00:00:00,Частная компания Nova Cyberworks Limited,ДИСПЕРГАТОР JC,3877.4399999999996,46080,46080,,178672435.2,PETROLINK ENERGY INC,3525.3886184895837,,,,3525.3886184895837,46080.0,3877.4399999999996
Общий Итог,,,,,,,,504067200,,,,,,,,
2024-02-26 00:00:00,2024-03-15 00:00:00,"ТОО""MediTest» (МедиТест)""", Присадка депрессорно-диспергирующая марки TOTAL CP7803,3780.0,120600,120.6,,455868000,"ТОО""Казахстанский Институт Содействия Промышленности""",3286942.4,,,,3286942.4,120600.0,3780.0
2023-10-26 00:00:00,2023-10-26 00:00:00,"ТОО""MediTest» (МедиТест)""",Ингибитор коррозии и отложений марки хеламин 906H,8848.0,17220,34440,,152362560,"ООО ""РВА""",6541.741728803716,,,,6541.741728803716,17220.0,8848.0
